Date,PX_LAST,PX_VOLUME
10/7/14,18.35,14185
10/6/14,17.65,6686
10/3/14,17.35,11757
10/2/14,18.15,13280
10/1/14,18.3,9847
9/30/14,17.9,4056
9/29/14,17.8,8295
9/26/14,17.35,7136
9/25/14,17.4,8056
9/24/14,17.05,5848
9/23/14,17.35,6963
9/22/14,16.95,7262
9/19/14,16.7,5468
9/18/14,16.65,6574
9/17/14,16.65,6930
9/16/14,16.2,13513
9/15/14,16.6,7848
9/12/14,16.3,13057
9/11/14,16.15,5834
9/10/14,16.1,6196
9/9/14,16.1,7640
9/8/14,16,4041
9/5/14,16,6489
9/4/14,16.25,6296
9/3/14,16.3,3594
9/2/14,16.4,5569
8/29/14,16.3,4780
8/28/14,16.3,8550
8/27/14,16.3,5488
8/26/14,16.15,4528
8/25/14,15.95,3800
8/22/14,16,5712
8/21/14,16,4537
8/20/14,15.9,7969
8/19/14,15.1,16734
8/18/14,15.2,16164
8/15/14,15.6,27365
8/14/14,15.65,10643
8/13/14,16,7936
8/12/14,16.45,8911
8/11/14,16.5,16688
8/8/14,17.1,16365
8/7/14,17.4,14860
8/6/14,17.05,14287
8/5/14,16.85,15966
8/4/14,16.25,12816
8/1/14,16.7,26227
7/31/14,16.2,18582
7/30/14,15.5,12165
7/29/14,15.45,8758
7/28/14,15.5,6738
7/25/14,15.65,11241
7/24/14,15.5,6317
7/23/14,15.45,4927
7/22/14,15.3,7572
7/21/14,15.35,8624
7/18/14,15.25,11090
7/17/14,15.55,25200
7/16/14,15.3,12421
7/15/14,14.9,14479
7/14/14,14.85,8078
7/11/14,15.15,6635
7/10/14,15.3,13316
7/9/14,15.15,12853
7/8/14,15.3,9248
7/7/14,15.3,5754
7/3/14,15.05,7007
7/2/14,15.2,5420
7/1/14,15.35,8147
6/30/14,15.6,7624
6/27/14,15.8,4560
6/26/14,15.75,7703
6/25/14,15.9,8240
6/24/14,16.15,5951
6/23/14,16,5841
6/20/14,16.15,6450
6/19/14,16.05,10902
6/18/14,16.05,8440
6/17/14,15.95,11436
6/16/14,16.1,8321
6/13/14,16.2,14127
6/12/14,16.4,13525
6/11/14,16.05,8419
6/10/14,15.9,5046
6/9/14,15.95,6672
6/6/14,15.8,15795
6/5/14,16.4,9098
6/4/14,16.65,4704
6/3/14,16.85,3704
6/2/14,16.9,5327
5/30/14,16.9,4379
5/29/14,16.75,3853
5/28/14,16.75,4617
5/27/14,16.6,7222
5/23/14,16.85,6810
5/22/14,16.8,6421
5/21/14,16.7,9243
5/20/14,16.35,14898
5/19/14,16.3,7409
5/16/14,16.55,8571
5/15/14,16.65,22047
5/14/14,16.65,7015
5/13/14,16.6,4600
5/12/14,16.6,7551
5/9/14,16.75,8579
5/8/14,17,6350
5/7/14,17,5783
5/6/14,17.2,4822
5/5/14,17.1,4953
5/2/14,17.3,7232
5/1/14,17.15,5824
4/30/14,17.15,5330
4/29/14,17.15,3550
4/28/14,17.3,5746
4/25/14,17.5,5557
4/24/14,17.45,7107
4/23/14,17.5,6385
4/22/14,17.4,9624
4/21/14,17.45,3644
4/17/14,17.45,8604
4/16/14,17.45,10143
4/15/14,17.4,19407
4/14/14,17.5,10851
4/11/14,17.5,19680
4/10/14,17.3,9449
4/9/14,16.95,7183
4/8/14,17.1,6320
4/7/14,17.3,10542
4/4/14,17.1,9059
4/3/14,16.95,2982
4/2/14,17.15,5861
4/1/14,17.05,6039
3/31/14,17.35,4752
3/28/14,17.65,5339
3/27/14,17.8,6529
3/26/14,17.9,5507
3/25/14,17.7,6974
3/24/14,17.65,5520
3/21/14,17.65,10517
3/20/14,17.55,5860
3/19/14,17.7,7099
3/18/14,17.6,7529
3/17/14,17.45,12876
3/14/14,18.05,22658
3/13/14,17.95,15482
3/12/14,17.7,11331
3/11/14,17.7,9045
3/10/14,17.55,9066
3/7/14,17.55,9154
3/6/14,17.4,7268
3/5/14,17.5,7952
3/4/14,17.5,11105
3/3/14,17.95,14227
2/28/14,17.5,11404
2/27/14,17.4,6415
2/26/14,17.35,11523
2/25/14,17.05,4770
2/24/14,17.1,4656
2/21/14,17.1,6624
2/20/14,17.1,6964
2/19/14,17.3,10431
2/18/14,16.4,9628
2/14/14,16.7,9858
2/13/14,16.8,9945
2/12/14,16.9,8756
2/11/14,16.9,10221
2/10/14,17.35,10299
2/7/14,17.4,12848
2/6/14,18.15,14278
2/5/14,19.25,17963
2/4/14,18.8,16262
2/3/14,18.7,21089
1/31/14,17.85,17168
1/30/14,17.7,12900
1/29/14,17.5,19794
1/28/14,17.1,11120
1/27/14,17.6,18378
1/24/14,17.7,20258
1/23/14,16.9,8827
1/22/14,16.75,8999
1/21/14,16.6,14460
1/17/14,16.7,8308
1/16/14,16.6,10449
1/15/14,16.55,6455
1/14/14,16.5,6072
1/13/14,16.65,11038
1/10/14,16.4,9095
1/9/14,16.5,7355
1/8/14,16.4,5425
1/7/14,16.4,4709
1/6/14,16.7,6439
1/3/14,16.95,4545
1/2/14,17,7573
12/31/13,16.8,5014
12/30/13,16.95,2449
12/27/13,16.85,2991
12/26/13,16.75,4382
12/24/13,16.75,2956
12/23/13,17.15,3707
12/20/13,17.45,6673
12/19/13,17.55,8242
12/18/13,17.35,12252
12/17/13,17.55,10345
12/16/13,17.75,9050
12/13/13,17.65,6338
12/12/13,17.6,15195
12/11/13,17.55,7673
12/10/13,17.1,5798
12/9/13,17.05,5181
12/6/13,17.25,5149
12/5/13,17.6,6606
12/4/13,17.6,7853
12/3/13,17.7,6997
12/2/13,17.6,8428
11/29/13,17.7,1437
11/27/13,17.7,3325
11/26/13,17.65,6241
11/25/13,17.7,7073
11/22/13,17.8,5132
11/21/13,18,6881
11/20/13,18.45,6473
