Date,ES1 Index (1.) 6M 100% Imp Vol,ES1 Index (2.) Hist Vol (180)
11/10/15,15.9033,15.90095383
11/09/15,16.3479,15.90328593
11/06/15,15.4704,15.85831728
11/05/15,15.578,15.85950706
11/04/15,15.7208,15.86465625
11/03/15,15.2618,15.85762369
11/02/15,15.0661,15.86615608
10/30/15,15.8661,15.8156918
10/29/15,15.6553,15.80675097
10/28/15,15.7488,15.80722232
10/27/15,16.0701,15.75444721
10/26/15,16.0708,15.79026265
10/23/15,15.6702,15.79006506
10/22/15,15.6799,15.81438978
10/21/15,16.9477,15.60216367
10/20/15,16.5188,15.58649445
10/19/15,16.0644,15.65170093
10/16/15,16.5637,15.66728057
10/15/15,16.7629,15.73323078
10/14/15,17.9016,15.68519798
10/13/15,17.7134,15.77718708
10/12/15,16.6187,15.82783002
10/09/15,17.2918,15.99464962
10/08/15,17.3669,16.05386704
10/07/15,18.0657,16.02068391
10/06/15,18.5244,15.99378609
10/05/15,18.4376,16.09068818
10/02/15,19.2761,15.97979539
10/01/15,20.0408,15.89400295
09/30/15,20.4437,15.95376442
09/29/15,21.3408,15.83479524
09/28/15,21.6132,15.84016238
09/25/15,20.0856,15.56310315
09/24/15,20.0391,15.57968363
09/23/15,19.4276,15.60985845
09/22/15,19.7363,15.75514003
09/21/15,18.5691,15.71397957
09/18/15,19.4226,15.76483737
09/17/15,18.5701,15.77590609
09/16/15,18.5048,15.76767926
09/15/15,19.4479,15.7874319
09/14/15,20.6766,15.71151623
09/11/15,20.3186,15.70830253
09/10/15,20.8155,15.69655248
09/09/15,21.2105,15.68973008
09/08/15,20.9016,15.63439444
09/04/15,22.3256,15.40224556
09/03/15,21.3353,15.33293387
09/02/15,21.1109,15.63114105
09/01/15,22.8861,15.72638995
08/31/15,20.7333,15.41669697
08/28/15,19.7278,15.37234479
08/27/15,19.2459,15.50404943
08/26/15,20.1144,15.17790268
08/25/15,22.2516,14.69838401
08/24/15,22.7921,14.69759957
08/21/15,19.0562,13.33037575
08/20/15,16.8058,12.93303132
08/19/15,15.1993,12.63087941
08/18/15,14.5976,12.57572261
08/17/15,14.3613,12.60274518
08/14/15,14.6454,12.62438769
08/13/15,14.874,12.61882482
08/12/15,14.8875,12.6198359
08/11/15,14.8864,12.61723055
08/10/15,14.1841,12.56763741
08/07/15,14.7313,12.48920876
08/06/15,14.7061,12.48702441
08/05/15,14.2319,12.45917119
08/04/15,14.416,12.45450031
08/03/15,14.1968,12.44559593
07/31/15,14.1547,12.43930176
07/30/15,14.0343,12.43588425
07/29/15,14.0469,12.43552553
07/28/15,14.3898,12.41024509
07/27/15,15.3549,12.34958458
07/24/15,14.6096,12.32608456
07/23/15,14.0881,12.27538427
07/22/15,13.7624,12.28577242
07/21/15,13.7601,12.28448367
07/20/15,13.6348,12.27592975
07/17/15,13.6444,12.34912266
07/16/15,13.7894,12.38521159
07/15/15,14.2425,12.37708245
07/14/15,14.2871,12.45210494
07/13/15,14.4332,12.44801837
07/10/15,15.6755,12.39112023
07/09/15,16.9417,12.35403165
07/08/15,16.7239,12.38299986
07/07/15,15.4712,12.43150617
07/06/15,15.8949,12.47572031
07/02/15,15.57,12.61658392
07/01/15,15.2449,12.61600371
06/30/15,16.0536,12.72494599
06/29/15,16.3294,12.73501497
06/26/15,14.4647,12.59100317
06/25/15,14.5097,12.75016964
06/24/15,14.3668,12.95731805
06/23/15,13.9559,13.07695493
06/22/15,14.2869,13.19933693
06/19/15,14.8328,13.19964386
06/18/15,14.375,13.25689776
06/17/15,14.9756,13.1838636
06/16/15,15.0593,13.27808006
06/15/15,15.251,13.26057915
